armiger,image_url,blazon,artist,date
Keuruu,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5c/Keuruu.vaakuna.svg/75px-Keuruu.vaakuna.svg.png,Hopeanväriseen ylälakioon sijoitettu musta kirkkovene ja punaisessa alakentässä ristikkäin olevat puintivarstat.,Olof Eriksson,1952-12-30
Kihniö,https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/Kihni%C3%B6.vaakuna.svg/75px-Kihni%C3%B6.vaakuna.svg.png,Sinisessä kentässä kaksi kultaista alapuolelta sahakoroista palkkia.,Toivo Vuorela,1960-10-10
Kinnula,https://upload.wikimedia.org/wikipedia/commons/thumb/7/73/Kinnula_coat_of_arms.svg/75px-Kinnula_coat_of_arms.svg.png,"Hopeakentässä kolme oksakoroista, musta-punakatkoista vastapalkkia.",Ahti Hammar,1959-01-02
Kirkkonummi,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Kirkkonummi.vaakuna.svg/120px-Kirkkonummi.vaakuna.svg.png,"Kilpi aaltokoroisesti sini-hopeakatkoinen; yläkentässä kultainen irtonainen kreikkalainen risti, alakentässä sininen vene.",A. W. Rancken,1951-03-29
Kitee,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f1/Kitee.vaakuna.svg/120px-Kitee.vaakuna.svg.png,Puna-mustakatkoisessa kilvessä hopeinen ruoriratas.,Tapio Vallioja,1953-11-07
Kittilä,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Kittil%C3%A4.vaakuna.svg/120px-Kittil%C3%A4.vaakuna.svg.png,Hopeakentässä kävelevä ahma ja yläpuolella kaarilakio; kaikki mustaa paitsi ahman varukset punaiset.,Einari Junttila,1963-11-26
Kiuruvesi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ab/Kiuruvesi.vaakuna.svg/75px-Kiuruvesi.vaakuna.svg.png,"Mustassa kentässä kultainen kiuru siivet levitettyinä, alapuolella saatteena kolme hopeista vesilehvää asetettuina 2 + 1.",Tapio Vallioja,1963-06-07
Kivijärvi,https://upload.wikimedia.org/wikipedia/commons/thumb/1/12/Kivij%C3%A4rvi.vaakuna.svg/75px-Kivij%C3%A4rvi.vaakuna.svg.png,"Hopeakentässä punainen, alapuoleltaan aaltokoroinen irtohirsi, jolla seisoo musta, punavaruksinen kukko.",Gustaf von Numers,1963-04-18
Kokemäki,https://upload.wikimedia.org/wikipedia/commons/thumb/e/eb/Kokem%C3%A4ki.vaakuna.svg/75px-Kokem%C3%A4ki.vaakuna.svg.png,"Sinisessä kentässä hopeinen, kultapäärmeinen ja -nauhainen piispanhiippa.",Gustaf von Numers,1953-02-04
Kokkola,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Kokkola.vaakuna.svg/120px-Kokkola.vaakuna.svg.png,"Kultakentässä kyljellään musta tervatynnyri, jonka tapinreiästä ja pohjista lyövät punaiset tulenlieskat.",Olof Eriksson(vanhan vaakunan pohjalta),1956-12-17
Kolari,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5a/Kolari.vaakuna.svg/120px-Kolari.vaakuna.svg.png,Kilpi alaisen harjakoron jakama hopeiseen ja mustaan kenttään; yläkentässä viisi nousevaa punaista tulikielekettä vieretysten.,Olof Eriksson,1951-12-10
Konnevesi,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fd/Konnevesi.vaakuna.svg/75px-Konnevesi.vaakuna.svg.png,Punaisessa kentässä hopeiset tukkisakset.,Gustaf von Numers,1964-08-21
Kontiolahti,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Kontiolahti.vaakuna.svg/120px-Kontiolahti.vaakuna.svg.png,"Hopeisessa kentässä pystyssä karhu olallaan uittohaka, kaikki mustaa, paitsi karhun varukset ja uittohaan varsi punaiset.",Aarno Liuksiala,1953-02-27
Korsnäs,https://upload.wikimedia.org/wikipedia/commons/thumb/7/78/Korsn%C3%A4s.vaakuna.svg/75px-Korsn%C3%A4s.vaakuna.svg.png,"Sinisessä kentässä ristikkäin kaksi ylös työntyvää harppuunaa, joiden kärjet hopeaa ja varret kultaa; yläkulmassa saatteena kultainen Mantovan risti.",Gustaf von Numers,1968-06-08
Koski Tl,https://upload.wikimedia.org/wikipedia/commons/thumb/d/dc/Koski.Tl.vaakuna.svg/120px-Koski.Tl.vaakuna.svg.png,"Punaisessa kentässä kuusisakaraista kannustähteä ympäröivä rengas, jonka ulkoreuna on lohenpyrstökoroinen, molemmat hopeaa.",Gustaf von Numers,1966-09-21
Kotka,https://upload.wikimedia.org/wikipedia/commons/thumb/1/13/Kotka.vaakuna.svg/75px-Kotka.vaakuna.svg.png,"Sinisessä kentässä kultainen luonnollinen kotka siivet koholla, seisoen ristikkäin olevalla ankkurilla ja Merkuriuksen sauvalla, jotka molemmat ovat hopeisia.",Olof Eriksson,1957-09-19
Kouvola,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fa/Kouvola.vaakuna.2009.svg/75px-Kouvola.vaakuna.2009.svg.png,"Mustalla kilvellä hopeinen aaltokoroinen tyviö ja kultainen liljapäinen, kuusipuolainen sideruusuke.",Tapani Talari,2009-01-01
Kristiinankaupunki,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Kristiinankaupunki.vaakuna.svg/75px-Kristiinankaupunki.vaakuna.svg.png,Aaltokoroisen hopea-sinihalkoisen kilven oikeassa kentässä yksitoista kentästä kasvavaa vihreää kuusta asetettuina 3 + 3 + 3 + 2.,Olof Eriksson(piirtänyt uudelleen),1652-03-07
Kruunupyy,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Kruunupyy.vaakuna.svg/75px-Kruunupyy.vaakuna.svg.png,"Punaisessa kentässä kruunattu apilaristi, jonka alasakara muodostaa kaateisen aurankärjen, kaikki kultaa.",Gustaf von Numers,1974-06-14
Kuhmo,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Kuhmo.vaakuna.svg/120px-Kuhmo.vaakuna.svg.png,Mustassa kentässä kolme kultaista kuusta asetettuna 2 + 1.,Olof Eriksson,1952-03-01
Kuhmoinen,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8f/Kuhmoinen.vaakuna.svg/75px-Kuhmoinen.vaakuna.svg.png,"Hopeakentässä kolme punaista, yläreunaltaan aaltokoroista hirttä.",Ahti Hammar,1955-08-04
Kumlinge,https://upload.wikimedia.org/wikipedia/commons/thumb/4/45/Kumlinge.vapen.svg/75px-Kumlinge.vapen.svg.png,Punaisessa kentässä kultainen kotka siivet levällään seisomassa hopeakivien muodostamalla merimerkillä.,Matts Dreijer,1951-12-19
Kuopio,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cb/Kuopio.vaakuna.svg/120px-Kuopio.vaakuna.svg.png,"Katkoisen kilven mustassa yläkentässä pystyssä viritetty jousi ja sen yläpuolella kruunu, kaikki kultaa, paitsi nuolen kärki ja sulitettu pyrstö hopeaa; hopeisessa alakentässä punainen yksitorninen kirkko, jonka ovi- ja ikkuna-aukot mustat.",Seppo Ruotsalainen (piirtänyt uudelleen),1958-06-12
Kuortane,https://upload.wikimedia.org/wikipedia/commons/thumb/3/37/Kuortane.vaakuna.svg/75px-Kuortane.vaakuna.svg.png,"Aaltokoroisesti katkoinen hopea-sininen kilpi, jonka yläkentässä kolme nousevaa punaista liekkiä ja alakentässä uiva hopeinen kuha.",Ahti Hammar,1957-10-17
Kurikka,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Kurikka.vaakuna.2009.svg/75px-Kurikka.vaakuna.2009.svg.png,Siniseen ja hopeaan lohenpyrstökoroilla halkaistu kilpi.,Kirsi-Maaria Markus,2009-01-01
Kustavi,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/Kustavi_vaakuna.svg/75px-Kustavi_vaakuna.svg.png,"Punaisessa kentässä aaltokoroinen hopeapalkki, jonka saatteena molemmin puolin paaluittain kulta-ankkuri.","Arvo Viljanti, A. Lukala jaAhti Hammar",1956-07-17
Kuusamo,https://upload.wikimedia.org/wikipedia/commons/thumb/a/af/Kuusamo.vaakuna.svg/75px-Kuusamo.vaakuna.svg.png,"Punakentässä hopeinen juokseva poro, jonka yläpuolella kultainen revontuli.",Kaj Kajander,1959-11-23
Kyyjärvi,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1b/Kyyj%C3%A4rvi.vaakuna.svg/120px-Kyyj%C3%A4rvi.vaakuna.svg.png,"Sinisessä kentässä aaltokoroinen vasen pieli ja luikerteleva käärme, kaikki hopeaa.",Kaj Kajander,1969-07-21
Kärkölä,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9a/K%C3%A4rk%C3%B6l%C3%A4.vaakuna.svg/75px-K%C3%A4rk%C3%B6l%C3%A4.vaakuna.svg.png,"Punaisessa kentässä kolme hopeista, hirsittäistä havukirvestä alatusten.",Ahti Hammar,1955-09-05
Kärsämäki,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/K%C3%A4rs%C3%A4m%C3%A4ki.vaakuna.svg/75px-K%C3%A4rs%C3%A4m%C3%A4ki.vaakuna.svg.png,"Hopeakentässä tyviö ja vene, molemmat siniset, veneestä nousee seitsemän punaista tulikielekettä.",Gustaf von Numers,1964-10-05
Kökar,https://upload.wikimedia.org/wikipedia/commons/thumb/3/35/K%C3%B6kar.vaakuna.svg/75px-K%C3%B6kar.vaakuna.svg.png,"Sinisessä kentässä hyppäävä hopeakala, jonka varukset punaiset.",Matts Dreijer,1952-04-16
Lahti,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Lahti.vaakuna.svg/75px-Lahti.vaakuna.svg.png,"Hopeakentässä musta, seitsenpuolainen rautatievaunun pyörä; pyörän kehältä nousee jokaisen puolapuun kohdalta punainen liekki.",Ahto Numminen(vanhan vaakunan pohjalta),1968-05-14
Laihia,https://upload.wikimedia.org/wikipedia/commons/thumb/7/76/Laihia.vaakuna.svg/75px-Laihia.vaakuna.svg.png,"Vihreässä kentässä kultaisella oksalla istuva, etukäpälissään kultakäpyä pitelevä hopeinen orava.",Ahti Hammar,1952-03-11
Laitila,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Laitila_vaakuna.svg/75px-Laitila_vaakuna.svg.png,"Punaisessa kentässä hopeinen, kultavaruksinen kukko pidellen oikeassa jalassaan hopeista kovelia.",Ahti Hammar,1961-06-26
Lapinjärvi,https://upload.wikimedia.org/wikipedia/commons/thumb/7/72/Lapinj%C3%A4rvi.vaakuna.svg/120px-Lapinj%C3%A4rvi.vaakuna.svg.png,"Hopea-sinihalkoinen kilpi, kummassakin kentässä vuorovärinen kärki, josta nousee apilaristi.",Ahti Hammar,1958-06-07
Lapinlahti,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1e/Lapinlahti.vaakuna.svg/75px-Lapinlahti.vaakuna.svg.png,"Mustassa kentässä kaskenviertäjä työvälineenään viertokanki; miehen molemmin puolin saatteena kuusikärkinen tähti; kaikki kultaa, paitsi miehen kasvot ja kädet luonnonväriset sekä virsut ja viertokangen tyvi punaiset.",Ahti Hammar,1952-11-11
Lappajärvi,https://upload.wikimedia.org/wikipedia/commons/thumb/6/65/Lappaj%C3%A4rvi.vaakuna.svg/75px-Lappaj%C3%A4rvi.vaakuna.svg.png,Sinisessä kentässä hopeinen raakapurjeella ja peräsimellä varustettu vene. Alla liekkikoroinen kultatyviö.,Ahti Hammar,1957-11-27
Lappeenranta,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Lappeenranta.vaakuna.svg/75px-Lappeenranta.vaakuna.svg.png,"Hopeakentässä luonnonvärinen metsäläinen, pidellen maahan laskettua nuijaa, seisomassa vihreällä maalla. Otsan ja vyötäisten ympärillä vihreä seppele.",Olof Eriksson(piirtänyt uudelleen),1954-12-29
Lapua,https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/Lapua.vaakuna.svg/120px-Lapua.vaakuna.svg.png,"Kultakentässä musta, kävelevä, punavaruksinen karhu, jolla ratsastaa siniseen vyötettyyn mekkoon, housuihin ja paulakenkiin pukeutunut mies, pidellen oikeassa kädessään iskuun kohotettua mustaa nuijaa.",Gustaf von Numers,1950-12-11
Laukaa,https://upload.wikimedia.org/wikipedia/commons/thumb/d/db/Laukaa.vaakuna.svg/75px-Laukaa.vaakuna.svg.png,"Hopeakentässä punainen sydän, josta kasvaa kolmihaarainen vihreä havunoksa.",Olof Eriksson,1955-09-05
Lemi,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Lemi.vaakuna.svg/120px-Lemi.vaakuna.svg.png,"Kilpi aaltokoroisesti vastalohkoinen, punahopeinen; punaisessa kentässä hopeinen, kultaemiöinen perunankukka.",Gustaf von Numers,1962-05-16
Lemland,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Lemland.vaakuna.svg/120px-Lemland.vaakuna.svg.png,"Mustassa kentässä kultainen kappeli, jossa kaksi punaista ikkunaa: katon harjalla kaksi kultaristiä, joiden sakarat päättyvät punaisiin kolmioihin.",Matts Dreijer,1951-12-28
Lempäälä,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/Lemp%C3%A4%C3%A4l%C3%A4.vaakuna.svg/75px-Lemp%C3%A4%C3%A4l%C3%A4.vaakuna.svg.png,"Punaisessa kentässä aaltokoroinen kultapaalu, jonka päällikkeenä on musta, viritetty jalkajousi, mustakärkisine kultanuolineen; tyvessä, paalun kummallakin puolella saatteena kultainen aurakärki.",Gustaf von Numers,1950-03-07
Leppävirta,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/Lepp%C3%A4virta.vaakuna.svg/120px-Lepp%C3%A4virta.vaakuna.svg.png,"Mustan kentän tyvessä aaltokoroinen kultahirsi, jonka yläpuolella kultainen, punanorkkoinen ja -silmuinen leppä.",Ahti Hammar,1950-06-14
Lestijärvi,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Lestij%C3%A4rvi.vaakuna.svg/120px-Lestij%C3%A4rvi.vaakuna.svg.png,Hopeakentässä sininen teerenpyrstö.,Gustaf von Numers,1967-01-19
Lieksa,https://upload.wikimedia.org/wikipedia/commons/thumb/9/90/Lieksa.vaakuna.svg/75px-Lieksa.vaakuna.svg.png,"Punaisessa kentässä tyvestä nouseva käsijousella ampuva mies, karvalakki päässä, kirves vyöllä; kaikki hopeaa.",Olof Eriksson,1953-04-20
Lieto,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7d/Lieto_vaakuna.svg/75px-Lieto_vaakuna.svg.png,Punaisessa kentässä nouseva Pyhä Pietari pidellen oikeassa kädessään avainta ja vasemmassa kirjaa; kaikki kultaa.,Ahti Hammar,1960-10-10
Liminka,https://upload.wikimedia.org/wikipedia/commons/thumb/5/51/Liminka.vaakuna.svg/120px-Liminka.vaakuna.svg.png,Sinisessä kentässä aaltokoroinen oikea pieli ja kolme kävelevää kärppää alatusten; kaikki muu on hopeaa paitsi kärppien hännänpäät ovat mustat.,Ahti Hammar,1956-06-08
Liperi,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b9/Liperi.vaakuna.svg/75px-Liperi.vaakuna.svg.png,Hopeakentässä punainen toistoristi.,Ahti Hammar,1956-07-17
Lohja,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b8/Lohja.vaakuna.svg/75px-Lohja.vaakuna.svg.png,Sinisessä kentässä hopeinen halstari paaluttain; sen varren kummallakin puolella saatteena kultainen pähkinäterttu.,Olof Eriksson,1997-01-01
Loimaa,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a5/Loimaa.vaakuna.svg/120px-Loimaa.vaakuna.svg.png,"Sinisessä kentässä paaluittain vehnäntähkä, jossa kaksi lehteä, saatteena neljä apilaristiä asetettuina 2 + 2; kaikki kultaa.",Aake Kaarnama,2005-01-01
Loppi,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e3/Loppi_vaakuna.svg/75px-Loppi_vaakuna.svg.png,Kilpi aaltokoroisesti puna-hopeakatkoinen; siinä vuorovärinen raudanmerkki.,Olof Eriksson,1952-09-23
Loviisa,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Loviisa.vaakuna.svg/120px-Loviisa.vaakuna.svg.png,Sini-kultakatkoinen kilpi. Sinisessä kentässä kaksi kultaista tykkiä ristikkäin ja kultaisessa kentässä musta ankkuri.,Ahti Hammar(piirtänyt uudelleen),1969-03-18
Luhanka,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Luhanka.vaakuna.svg/75px-Luhanka.vaakuna.svg.png,"Vihreässä kentässä kävelevä, hopeinen, kultavaruksinen mäyrä, jonka saatteena kolme kultaista, naulakantaista kaarisakararistiä, kaksi yläpuolella, yksi alapuolella.",Gustaf von Numers,1965-09-01
Lumijoki,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Lumijoki.vaakuna.svg/75px-Lumijoki.vaakuna.svg.png,"Sinisessä kentässä alainen aaltokoroinen hirsi, jonka yläpuolella lumikide; molemmat hopeaa.",Toivo Mikkonen jaKaj Kajander,1969-07-11
Lumparland,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Lumparland.vaakuna.svg/120px-Lumparland.vaakuna.svg.png,"Sinisessä kentässä kultalyhde, molemmin puolin sitä kohti kaartuva hopeinen, punavaruksinen kala.",Matts Dreijer,1952-04-16
Luoto,https://upload.wikimedia.org/wikipedia/commons/thumb/5/50/Luoto.vaakuna.svg/75px-Luoto.vaakuna.svg.png,Sinisessä kentässä hopeinen kaksimastoinen verkkovene.,Gustaf von Numers,1952-10-17
Luumäki,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Luum%C3%A4ki.vaakuna.svg/75px-Luum%C3%A4ki.vaakuna.svg.png,"Kultakentässä honka, jonka rungon oikealla puolella punavaruksinen karjunpää, vasemmalla puolella viisisakarainen vallitus; kaikki mustaa.",Gustaf von Numers,1951-04-30
Maalahti,https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/Maalahti.vaakuna.svg/75px-Maalahti.vaakuna.svg.png,"Sinisessä kentässä aaltokoroinen tyviö ja kolme lukkopeltiä asetettuina 2:1, kaikki hopeaa.",Karl-David Långbacka,1982-07-09
Maarianhamina,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Maarianhamina.vaakuna.svg/120px-Maarianhamina.vaakuna.svg.png,"Sinisellä kilvellä pysty kulta-ankkuri, sen yläpuolella lakio, jossa kolme vihreää lehmuksen lehteä.",Nils Byman,1951-12-19
Marttila,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Marttila.vaakuna.svg/120px-Marttila.vaakuna.svg.png,"Punaisessa, vihreätyviöisessä kilvessä ratsastava, viittaansa leikkaava Pyhä Martti, jonka alapuolella istuva kerjäläinen; kaikki kultaa.",Ahti Hammar,1956-07-17
Masku,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Askainen.vaakuna.svg/75px-Askainen.vaakuna.svg.png,"Punaisessa kentässä ristikkäin kaksi hopeista marsalkansauvaa, joiden päätehelat kultaa. Sauvojen saatteena neljä kulta-apilaa.",Gustaf von Numers,2009-01-01
Merijärvi,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c7/Merijarvi.vaakuna.svg/75px-Merijarvi.vaakuna.svg.png,"Sinisessä kentässä kaarikoroisesta tyviöstä nousevaan sinkilään kiinnitetty rengas, kaikki hopeaa.",Gustaf von Numers,1967-04-27
Merikarvia,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4e/Merikarvia.vaakuna.svg/120px-Merikarvia.vaakuna.svg.png,"Sinisessä kentässä hopeinen, kolmimastoinen, etu- ja raakapurjeilla varustettu alus, joka ui aaltokoroisella kultatyviöllä.",Carolus Lindberg,1951-02-02
Miehikkälä,https://upload.wikimedia.org/wikipedia/commons/thumb/1/17/Miehikkala.vaakuna.svg/75px-Miehikkala.vaakuna.svg.png,Punaisessa kentässä hopeinen kaksoispolviorsi.,Tapio Vallioja,1957-12-03
Mikkeli,https://upload.wikimedia.org/wikipedia/commons/thumb/0/09/Mikkeli.vaakuna.svg/75px-Mikkeli.vaakuna.svg.png,"Poikittain jaettu kilpi, jossa kuvataan sen yläkentässä kultaisella pohjalla Suomen marsalkan, vapaaherraC. G. E. Mannerheiminmarsalkansauvaa kaksin kappalein vinoristisuunnassa sekä alakentässä mustalla pohjalla ylöspäin suunnattu Savon maakunnan kultainen jousi, jossa jänne, nuolenkärki ja sulitettu pyrstö ovat hopeaa. Vaakunakilven yläpuolella on ruotsalaismallinen kreivin kruunu ja kilven alapuolella vapaudenristi nauhasommitelmineen.",Gunnar Clement; uudelleen piirtänyt Eero Jokilehto,1943-01-15
Muhos,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Muhos.vaakuna.svg/120px-Muhos.vaakuna.svg.png,Aaltokorokatkoisen kilven sinisessä yläkentässä hopeinen lohi ja hopeisessa alakentässä kolme sinistä yksipolvekkeista salamaa vierekkäin.,Olof Eriksson,1956-02-06
Multia,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Multia_vaakuna.svg/120px-Multia_vaakuna.svg.png,Mustassa kentässä kultainen muurahainen.,Ahti Hammar,1963-11-26
Muonio,https://upload.wikimedia.org/wikipedia/commons/thumb/0/02/Muonio.vaakuna.svg/75px-Muonio.vaakuna.svg.png,Punaisessa kentässä harjakoroisen tyviön yläpuolella kuusisakarainen tähti; kaikki hopeaa.,B. Harald Hellström,1955-11-15
Mustasaari,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Mustasaari_vaakuna.svg/75px-Mustasaari_vaakuna.svg.png,"Punaisessa kentässä reunoihin ulottuva kolmoisriu’un ja kaksoisvartaan muodostama risti, jonka risteyskohtaa ympäröi rengas, kaikki kultaa; kuviot ovat toisiinsa punottuina.",Gustaf von Numers,1975-01-20
Muurame,https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Muurame.vaakuna.svg/75px-Muurame.vaakuna.svg.png,"Punaisessa kentässä hopeinen suomuurain, jonka marja kultaa.",Ahti Hammar,1960-02-06
Mynämäki,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Myn%C3%A4m%C3%A4ki.vaakuna.svg/120px-Myn%C3%A4m%C3%A4ki.vaakuna.svg.png,Punaisessa kentässä kolme kultaista sulkakynää paaluittain.,Gustaf von Numers,2007-01-01
Myrskylä,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Myrskyl%C3%A4.vaakuna.svg/120px-Myrskyl%C3%A4.vaakuna.svg.png,Sinisessä kentässä hopeinen honka palkeittain.,Gustaf von Numers,1959-11-23
Mäntsälä,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/M%C3%A4nts%C3%A4l%C3%A4.vaakuna.svg/75px-M%C3%A4nts%C3%A4l%C3%A4.vaakuna.svg.png,"Sinisessä kentässä kultainen, edestäpäinen hirvenpää, jonka varuksetkin kultaa; saatteena kolme hopea-apilaa asetettuina 1 + 2.",Olof Eriksson,1951-02-20
Mänttä-Vilppula,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Vilppula.vaakuna.svg/75px-Vilppula.vaakuna.svg.png,"Punaisessa kentässä alareunaltaan kaareva hirsi, josta kasvaa kolme havunoksaa; kokonaan hopeaa.",Olof Eriksson,2009-01-01
Mäntyharju,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/M%C3%A4ntyharju.vaakuna.svg/75px-M%C3%A4ntyharju.vaakuna.svg.png,"Mustassa kentässä kaksi kaarityviöstä kasvavaa mäntyä, kaikki kultaa.",Ahti Hammar,1953-04-20
Naantali,https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Naantali.vaakuna.svg/120px-Naantali.vaakuna.svg.png,"Mustassa kentässä minuskelikirjaimet vg, joiden yläpuolella avonainen ritarikruunu; kaikki kultaa.",Olof Eriksson(piirtänyt uudelleen),1966-10-11
Nakkila,https://upload.wikimedia.org/wikipedia/commons/thumb/7/79/Nakkila.vaakuna.svg/75px-Nakkila.vaakuna.svg.png,"Sinisessä kentässä kultainen palkki, jossa musta nahkiainen; palkin kummallakin puolella kolme paaluttaista kultatähkää.",Gustaf von Numers,1953-02-16
Nivala,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/Nivala.vaakuna.svg/120px-Nivala.vaakuna.svg.png,Vihreässä kentässä yksipuolinen kultainen puuportti.,Kalervo Kallio,1965-02-04
Nokia,https://upload.wikimedia.org/wikipedia/commons/thumb/2/26/Nokia.vaakuna.svg/75px-Nokia.vaakuna.svg.png,"Kultakentässä sininen, alainen aaltokoroinen palkki, jonka yläpuolella musta punavaruksinen näätä pystyasennossa.",Gustaf von Numers,1951-10-25
Nousiainen,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c5/Nousiainen.vaakuna.svg/75px-Nousiainen.vaakuna.svg.png,"Punaisessa kentässä piispanistuimella istuva Pyhä Henrik, joka polkee jaloillaan kirves kädessä maassa makaavaa miestä, kaikki kultaa.",Olof Eriksson,1961-06-26
Nurmes,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/Nurmes.vaakuna.svg/120px-Nurmes.vaakuna.svg.png,Punaisessa kentässä kolme hopeista karhukeihäänkärkeä pystyssä vierekkäin.,Olof Eriksson,1952-02-11
Nurmijärvi,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Nurmijarvi.vaakuna.svg/75px-Nurmijarvi.vaakuna.svg.png,Sinisessä kentässä seitsemän luonnonväristä kultatukkaista nuorukaisen päätä asetettuina 2 + 3 + 2.,Olof Eriksson,1954-04-14
Närpiö,https://upload.wikimedia.org/wikipedia/commons/thumb/7/7a/N%C3%A4rpi%C3%B6.vaakuna.svg/120px-N%C3%A4rpi%C3%B6.vaakuna.svg.png,"Punaisessa kentässä kaateinen, kultainen vesilehvä, jolla on hopeasiivet.",Gustaf von Numers,1955-08-04
Orimattila,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/Orimattila.vaakuna.svg/75px-Orimattila.vaakuna.svg.png,Punaisessa kentässä nouseva hevonen pidellen viikatetta; kaikki hopeaa.,Ahti Hammar,1956-12-17
Oripää,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ed/Orip%C3%A4%C3%A4.vaakuna.svg/75px-Orip%C3%A4%C3%A4.vaakuna.svg.png,"Punaisessa kentässä kultainen hevosenpää, jonka kaula jatkuu kultaisena paaluna kilven alareunaan.",Gustaf von Numers,1968-06-11
Orivesi,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Orivesi.vaakuna.svg/120px-Orivesi.vaakuna.svg.png,"Hopeisessa kilvessä punainen pystyyn kavahtanut ori, joka nousee esiin kilven tyveen ulottuvasta sinisestä vedestä.",Carolus Lindberg,1949-11-30
Oulainen,https://upload.wikimedia.org/wikipedia/commons/thumb/0/05/Oulainen.vaakuna.svg/75px-Oulainen.vaakuna.svg.png,Vihreässä kentässä pystyssä kultainen rapu.,Ahti Hammar,1954-02-16
Oulu,https://upload.wikimedia.org/wikipedia/commons/thumb/3/36/Oulu.vaakuna.svg/120px-Oulu.vaakuna.svg.png,"Punaisessa kentässä hopeisesta tyviöstä nouseva kultainen, sinisin portti- ja ikkuna-aukoin varustettu linna, jossa neljä viirein koristettua kupukattoista tornia; tyviössä sininen, punavaruksinen lohi.",Martti Heikura (piirtänyt uudelleen),1954-02-11
Outokumpu,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Outokumpu.vaakuna.svg/120px-Outokumpu.vaakuna.svg.png,"Punaisessa kentässä on kuusikoroinen lakio, jonka alapuolella kuparinmerkki; kaikki kultaa.",Olof Eriksson,1953-02-18
